SalesOrderNumber,OrderDate,ProductKey,OrderQuantity,UnitPrice,TotalProductCost,SalesAmount,Markup
SO51641,2020-01-25,214,1,34.99,13.09,34.99,21.90
SO51653,2020-01-25,214,1,34.99,13.09,34.99,21.90
SO51677,2020-01-27,214,1,34.99,13.09,34.99,21.90
SO51678,2020-01-27,214,1,34.99,13.09,34.99,21.90
SO51680,2020-01-27,214,1,34.99,13.09,34.99,21.90
SO51687,2020-01-27,214,1,34.99,13.09,34.99,21.90
SO51877,2020-01-28,214,1,34.99,13.09,34.99,21.90
SO51888,2020-01-28,214,1,34.99,13.09,34.99,21.90
SO51899,2020-01-28,214,1,34.99,13.09,34.99,21.90
SO51921,2020-01-28,214,1,34.99,13.09,34.99,21.90
SO51926,2020-01-29,214,1,34.99,13.09,34.99,21.90
SO51930,2020-01-29,214,1,34.99,13.09,34.99,21.90
SO51936,2020-01-29,214,1,34.99,13.09,34.99,21.90
SO51937,2020-01-29,214,1,34.99,13.09,34.99,21.90
SO51949,2020-01-29,214,1,34.99,13.09,34.99,21.90
SO51955,2020-01-29,214,1,34.99,13.09,34.99,21.90
SO51957,2020-01-29,214,1,34.99,13.09,34.99,21.90
SO51971,2020-01-30,214,1,34.99,13.09,34.99,21.90
SO52001,2020-01-30,214,1,34.99,13.09,34.99,21.90
SO52011,2020-01-30,214,1,34.99,13.09,34.99,21.90
SO52015,2020-01-30,214,1,34.99,13.09,34.99,21.90
SO52027,2020-01-31,214,1,34.99,13.09,34.99,21.90
SO52028,2020-01-31,214,1,34.99,13.09,34.99,21.90
SO52078,2020-02-01,214,1,34.99,13.09,34.99,21.90
SO52085,2020-02-01,214,1,34.99,13.09,34.99,21.90
SO52107,2020-02-02,214,1,34.99,13.09,34.99,21.90
SO52110,2020-02-02,214,1,34.99,13.09,34.99,21.90
SO52112,2020-02-02,214,1,34.99,13.09,34.99,21.90
SO52113,2020-02-02,214,1,34.99,13.09,34.99,21.90
SO52116,2020-02-02,214,1,34.99,13.09,34.99,21.90
SO52140,2020-02-02,214,1,34.99,13.09,34.99,21.90
SO52145,2020-02-02,214,1,34.99,13.09,34.99,21.90
SO52149,2020-02-02,214,1,34.99,13.09,34.99,21.90
SO52163,2020-02-03,214,1,34.99,13.09,34.99,21.90
SO52165,2020-02-03,214,1,34.99,13.09,34.99,21.90
SO52177,2020-02-03,214,1,34.99,13.09,34.99,21.90
SO52186,2020-02-03,214,1,34.99,13.09,34.99,21.90
SO52189,2020-02-03,214,1,34.99,13.09,34.99,21.90
SO52192,2020-02-03,214,1,34.99,13.09,34.99,21.90
SO52193,2020-02-03,214,1,34.99,13.09,34.99,21.90
SO52198,2020-02-03,214,1,34.99,13.09,34.99,21.90
SO52213,2020-02-04,214,1,34.99,13.09,34.99,21.90
SO52214,2020-02-04,214,1,34.99,13.09,34.99,21.90
SO52217,2020-02-04,214,1,34.99,13.09,34.99,21.90
SO52220,2020-02-04,214,1,34.99,13.09,34.99,21.90
SO52225,2020-02-04,214,1,34.99,13.09,34.99,21.90
SO52229,2020-02-04,214,1,34.99,13.09,34.99,21.90
SO52236,2020-02-04,214,1,34.99,13.09,34.99,21.90
SO52258,2020-02-04,214,1,34.99,13.09,34.99,21.90
SO52260,2020-02-04,214,1,34.99,13.09,34.99,21.90
SO52272,2020-02-04,214,1,34.99,13.09,34.99,21.90
SO52282,2020-02-05,214,1,34.99,13.09,34.99,21.90
SO52296,2020-02-05,214,1,34.99,13.09,34.99,21.90
SO52300,2020-02-05,214,1,34.99,13.09,34.99,21.90
SO52322,2020-02-05,214,1,34.99,13.09,34.99,21.90
SO52325,2020-02-05,214,1,34.99,13.09,34.99,21.90
SO52336,2020-02-06,214,1,34.99,13.09,34.99,21.90
SO52337,2020-02-06,214,1,34.99,13.09,34.99,21.90
SO52341,2020-02-06,214,1,34.99,13.09,34.99,21.90
SO52349,2020-02-06,214,1,34.99,13.09,34.99,21.90
SO52350,2020-02-06,214,1,34.99,13.09,34.99,21.90
SO52364,2020-02-06,214,1,34.99,13.09,34.99,21.90
SO52366,2020-02-07,214,1,34.99,13.09,34.99,21.90
SO52393,2020-02-07,214,1,34.99,13.09,34.99,21.90
SO52396,2020-02-07,214,1,34.99,13.09,34.99,21.90
SO52398,2020-02-07,214,1,34.99,13.09,34.99,21.90
SO52401,2020-02-07,214,1,34.99,13.09,34.99,21.90
SO52404,2020-02-07,214,1,34.99,13.09,34.99,21.90
SO52410,2020-02-08,214,1,34.99,13.09,34.99,21.90
SO52452,2020-02-08,214,1,34.99,13.09,34.99,21.90
SO52462,2020-02-08,214,1,34.99,13.09,34.99,21.90
SO52473,2020-02-09,214,1,34.99,13.09,34.99,21.90
SO52480,2020-02-09,214,1,34.99,13.09,34.99,21.90
SO52491,2020-02-09,214,1,34.99,13.09,34.99,21.90
SO52500,2020-02-09,214,1,34.99,13.09,34.99,21.90
SO52501,2020-02-09,214,1,34.99,13.09,34.99,21.90
SO52513,2020-02-09,214,1,34.99,13.09,34.99,21.90
SO52557,2020-02-10,214,1,34.99,13.09,34.99,21.90
SO52569,2020-02-10,214,1,34.99,13.09,34.99,21.90
SO52576,2020-02-10,214,1,34.99,13.09,34.99,21.90
SO52583,2020-02-11,214,1,34.99,13.09,34.99,21.90
SO52600,2020-02-11,214,1,34.99,13.09,34.99,21.90
SO52607,2020-02-11,214,1,34.99,13.09,34.99,21.90
SO52628,2020-02-12,214,1,34.99,13.09,34.99,21.90
SO52635,2020-02-12,214,1,34.99,13.09,34.99,21.90
SO52640,2020-02-12,214,1,34.99,13.09,34.99,21.90
SO52647,2020-02-12,214,1,34.99,13.09,34.99,21.90
SO52648,2020-02-12,214,1,34.99,13.09,34.99,21.90
SO52653,2020-02-12,214,1,34.99,13.09,34.99,21.90
SO52659,2020-02-12,214,1,34.99,13.09,34.99,21.90
SO52668,2020-02-12,214,1,34.99,13.09,34.99,21.90
SO52706,2020-02-13,214,1,34.99,13.09,34.99,21.90
SO52717,2020-02-13,214,1,34.99,13.09,34.99,21.90
SO52727,2020-02-14,214,1,34.99,13.09,34.99,21.90
SO52744,2020-02-14,214,1,34.99,13.09,34.99,21.90
SO52760,2020-02-14,214,1,34.99,13.09,34.99,21.90
SO52763,2020-02-14,214,1,34.99,13.09,34.99,21.90
SO52765,2020-02-14,214,1,34.99,13.09,34.99,21.90
SO52770,2020-02-14,214,1,34.99,13.09,34.99,21.90
SO52772,2020-02-14,214,1,34.99,13.09,34.99,21.90
SO52789,2020-02-15,214,1,34.99,13.09,34.99,21.90
SO52802,2020-02-15,214,1,34.99,13.09,34.99,21.90
SO52804,2020-02-15,214,1,34.99,13.09,34.99,21.90
SO52840,2020-02-15,214,1,34.99,13.09,34.99,21.90
SO52841,2020-02-16,214,1,34.99,13.09,34.99,21.90
SO52844,2020-02-16,214,1,34.99,13.09,34.99,21.90
SO52864,2020-02-16,214,1,34.99,13.09,34.99,21.90
SO52866,2020-02-16,214,1,34.99,13.09,34.99,21.90
SO52875,2020-02-16,214,1,34.99,13.09,34.99,21.90
SO52880,2020-02-16,214,1,34.99,13.09,34.99,21.90
SO52881,2020-02-16,214,1,34.99,13.09,34.99,21.90
SO52884,2020-02-17,214,1,34.99,13.09,34.99,21.90
SO52896,2020-02-17,214,1,34.99,13.09,34.99,21.90
SO52915,2020-02-17,214,1,34.99,13.09,34.99,21.90
SO52920,2020-02-17,214,1,34.99,13.09,34.99,21.90
SO52921,2020-02-17,214,1,34.99,13.09,34.99,21.90
SO52929,2020-02-17,214,1,34.99,13.09,34.99,21.90
SO52944,2020-02-18,214,1,34.99,13.09,34.99,21.90
SO52950,2020-02-18,214,1,34.99,13.09,34.99,21.90
SO52984,2020-02-19,214,1,34.99,13.09,34.99,21.90
SO52988,2020-02-19,214,1,34.99,13.09,34.99,21.90
SO52989,2020-02-19,214,1,34.99,13.09,34.99,21.90
SO52996,2020-02-19,214,1,34.99,13.09,34.99,21.90
SO53002,2020-02-19,214,1,34.99,13.09,34.99,21.90
SO53011,2020-02-20,214,1,34.99,13.09,34.99,21.90
SO53023,2020-02-20,214,1,34.99,13.09,34.99,21.90
SO53024,2020-02-20,214,1,34.99,13.09,34.99,21.90
SO53030,2020-02-20,214,1,34.99,13.09,34.99,21.90
SO53050,2020-02-20,214,1,34.99,13.09,34.99,21.90
SO53055,2020-02-20,214,1,34.99,13.09,34.99,21.90
SO53059,2020-02-20,214,1,34.99,13.09,34.99,21.90
SO53060,2020-02-20,214,1,34.99,13.09,34.99,21.90
SO53063,2020-02-20,214,1,34.99,13.09,34.99,21.90
SO53092,2020-02-21,214,1,34.99,13.09,34.99,21.90
SO53097,2020-02-21,214,1,34.99,13.09,34.99,21.90
SO53104,2020-02-21,214,1,34.99,13.09,34.99,21.90
SO53118,2020-02-21,214,1,34.99,13.09,34.99,21.90
SO53149,2020-02-22,214,1,34.99,13.09,34.99,21.90
SO53170,2020-02-22,214,1,34.99,13.09,34.99,21.90
SO53172,2020-02-22,214,1,34.99,13.09,34.99,21.90
SO53179,2020-02-22,214,1,34.99,13.09,34.99,21.90
SO53192,2020-02-23,214,1,34.99,13.09,34.99,21.90
SO53195,2020-02-23,214,1,34.99,13.09,34.99,21.90
SO53203,2020-02-23,214,1,34.99,13.09,34.99,21.90
SO53266,2020-02-24,214,1,34.99,13.09,34.99,21.90
SO53267,2020-02-24,214,1,34.99,13.09,34.99,21.90
SO53274,2020-02-24,214,1,34.99,13.09,34.99,21.90
SO53285,2020-02-24,214,1,34.99,13.09,34.99,21.90
SO53303,2020-02-25,214,1,34.99,13.09,34.99,21.90
SO53320,2020-02-25,214,1,34.99,13.09,34.99,21.90
SO53324,2020-02-25,214,1,34.99,13.09,34.99,21.90
SO53335,2020-02-25,214,1,34.99,13.09,34.99,21.90
SO53339,2020-02-25,214,1,34.99,13.09,34.99,21.90
SO53343,2020-02-25,214,1,34.99,13.09,34.99,21.90
SO53361,2020-02-26,214,1,34.99,13.09,34.99,21.90
SO53376,2020-02-26,214,1,34.99,13.09,34.99,21.90
SO53383,2020-02-26,214,1,34.99,13.09,34.99,21.90
SO53391,2020-02-26,214,1,34.99,13.09,34.99,21.90
SO53399,2020-02-27,214,1,34.99,13.09,34.99,21.90
SO53404,2020-02-27,214,1,34.99,13.09,34.99,21.90
SO53405,2020-02-27,214,1,34.99,13.09,34.99,21.90
SO53407,2020-02-27,214,1,34.99,13.09,34.99,21.90
SO53412,2020-02-27,214,1,34.99,13.09,34.99,21.90
SO53417,2020-02-27,214,1,34.99,13.09,34.99,21.90
SO53439,2020-02-27,214,1,34.99,13.09,34.99,21.90
SO53444,2020-02-27,214,1,34.99,13.09,34.99,21.90
SO53630,2020-02-28,214,1,34.99,13.09,34.99,21.90
SO53633,2020-02-28,214,1,34.99,13.09,34.99,21.90
SO53634,2020-02-28,214,1,34.99,13.09,34.99,21.90
SO53657,2020-02-28,214,1,34.99,13.09,34.99,21.90
SO53660,2020-02-28,214,1,34.99,13.09,34.99,21.90
SO53663,2020-03-01,214,1,34.99,13.09,34.99,21.90
SO53684,2020-03-01,214,1,34.99,13.09,34.99,21.90
SO53690,2020-03-01,214,1,34.99,13.09,34.99,21.90
SO53691,2020-03-01,214,1,34.99,13.09,34.99,21.90
SO53699,2020-03-01,214,1,34.99,13.09,34.99,21.90
SO53709,2020-03-01,214,1,34.99,13.09,34.99,21.90
SO53727,2020-03-02,214,1,34.99,13.09,34.99,21.90
SO53743,2020-03-02,214,1,34.99,13.09,34.99,21.90
SO53765,2020-03-02,214,1,34.99,13.09,34.99,21.90
SO53770,2020-03-02,214,1,34.99,13.09,34.99,21.90
SO53788,2020-03-03,214,1,34.99,13.09,34.99,21.90
SO53810,2020-03-03,214,1,34.99,13.09,34.99,21.90
SO53815,2020-03-03,214,1,34.99,13.09,34.99,21.90
SO53830,2020-03-04,214,1,34.99,13.09,34.99,21.90
SO53841,2020-03-04,214,1,34.99,13.09,34.99,21.90
SO53853,2020-03-04,214,1,34.99,13.09,34.99,21.90
SO53869,2020-03-04,214,1,34.99,13.09,34.99,21.90
SO53898,2020-03-05,214,1,34.99,13.09,34.99,21.90
SO53917,2020-03-05,214,1,34.99,13.09,34.99,21.90
SO53919,2020-03-05,214,1,34.99,13.09,34.99,21.90
SO53920,2020-03-06,214,1,34.99,13.09,34.99,21.90
SO53947,2020-03-06,214,1,34.99,13.09,34.99,21.90
SO53953,2020-03-06,214,1,34.99,13.09,34.99,21.90
SO53964,2020-03-06,214,1,34.99,13.09,34.99,21.90
SO53984,2020-03-07,214,1,34.99,13.09,34.99,21.90
SO53996,2020-03-07,214,1,34.99,13.09,34.99,21.90
SO54025,2020-03-07,214,1,34.99,13.09,34.99,21.90
SO54034,2020-03-07,214,1,34.99,13.09,34.99,21.90
SO54040,2020-03-08,214,1,34.99,13.09,34.99,21.90
SO54048,2020-03-08,214,1,34.99,13.09,34.99,21.90
SO54098,2020-03-08,214,1,34.99,13.09,34.99,21.90
SO54099,2020-03-08,214,1,34.99,13.09,34.99,21.90
SO54103,2020-03-09,214,1,34.99,13.09,34.99,21.90
SO54106,2020-03-09,214,1,34.99,13.09,34.99,21.90
SO54119,2020-03-09,214,1,34.99,13.09,34.99,21.90
SO54129,2020-03-09,214,1,34.99,13.09,34.99,21.90
SO54141,2020-03-09,214,1,34.99,13.09,34.99,21.90
SO54142,2020-03-09,214,1,34.99,13.09,34.99,21.90
SO54147,2020-03-09,214,1,34.99,13.09,34.99,21.90
SO54171,2020-03-10,214,1,34.99,13.09,34.99,21.90
SO54173,2020-03-10,214,1,34.99,13.09,34.99,21.90
SO54190,2020-03-11,214,1,34.99,13.09,34.99,21.90
SO54196,2020-03-11,214,1,34.99,13.09,34.99,21.90
SO54217,2020-03-11,214,1,34.99,13.09,34.99,21.90
SO54233,2020-03-11,214,1,34.99,13.09,34.99,21.90
SO54234,2020-03-11,214,1,34.99,13.09,34.99,21.90
SO54238,2020-03-11,214,1,34.99,13.09,34.99,21.90
SO54246,2020-03-11,214,1,34.99,13.09,34.99,21.90
SO54249,2020-03-12,214,1,34.99,13.09,34.99,21.90
SO54257,2020-03-12,214,1,34.99,13.09,34.99,21.90
SO54265,2020-03-12,214,1,34.99,13.09,34.99,21.90
SO54283,2020-03-12,214,1,34.99,13.09,34.99,21.90
SO54284,2020-03-12,214,1,34.99,13.09,34.99,21.90
SO54294,2020-03-12,214,1,34.99,13.09,34.99,21.90
SO54300,2020-03-12,214,1,34.99,13.09,34.99,21.90
SO54301,2020-03-12,214,1,34.99,13.09,34.99,21.90
SO54312,2020-03-12,214,1,34.99,13.09,34.99,21.90
SO54315,2020-03-12,214,1,34.99,13.09,34.99,21.90
SO54317,2020-03-13,214,1,34.99,13.09,34.99,21.90
SO54346,2020-03-13,214,1,34.99,13.09,34.99,21.90
SO54350,2020-03-13,214,1,34.99,13.09,34.99,21.90
SO54368,2020-03-13,214,1,34.99,13.09,34.99,21.90
SO54372,2020-03-13,214,1,34.99,13.09,34.99,21.90
SO54385,2020-03-14,214,1,34.99,13.09,34.99,21.90
SO54405,2020-03-14,214,1,34.99,13.09,34.99,21.90
SO54410,2020-03-14,214,1,34.99,13.09,34.99,21.90
SO54415,2020-03-14,214,1,34.99,13.09,34.99,21.90
SO54417,2020-03-14,214,1,34.99,13.09,34.99,21.90
SO54424,2020-03-14,214,1,34.99,13.09,34.99,21.90
SO54437,2020-03-15,214,1,34.99,13.09,34.99,21.90
SO54448,2020-03-15,214,1,34.99,13.09,34.99,21.90
SO54451,2020-03-15,214,1,34.99,13.09,34.99,21.90
SO54454,2020-03-15,214,1,34.99,13.09,34.99,21.90
SO54460,2020-03-15,214,1,34.99,13.09,34.99,21.90
SO54461,2020-03-15,214,1,34.99,13.09,34.99,21.90
SO54471,2020-03-15,214,1,34.99,13.09,34.99,21.90
SO54475,2020-03-15,214,1,34.99,13.09,34.99,21.90
SO54481,2020-03-16,214,1,34.99,13.09,34.99,21.90
SO54492,2020-03-16,214,1,34.99,13.09,34.99,21.90
SO54499,2020-03-16,214,1,34.99,13.09,34.99,21.90
SO54506,2020-03-16,214,1,34.99,13.09,34.99,21.90
SO54510,2020-03-16,214,1,34.99,13.09,34.99,21.90
SO54523,2020-03-16,214,1,34.99,13.09,34.99,21.90
SO54524,2020-03-16,214,1,34.99,13.09,34.99,21.90
SO54527,2020-03-17,214,1,34.99,13.09,34.99,21.90
SO54528,2020-03-17,214,1,34.99,13.09,34.99,21.90
SO54532,2020-03-17,214,1,34.99,13.09,34.99,21.90
SO54535,2020-03-17,214,1,34.99,13.09,34.99,21.90
SO54549,2020-03-17,214,1,34.99,13.09,34.99,21.90
SO54550,2020-03-17,214,1,34.99,13.09,34.99,21.90
SO54562,2020-03-17,214,1,34.99,13.09,34.99,21.90
SO54572,2020-03-17,214,1,34.99,13.09,34.99,21.90
SO54587,2020-03-18,214,1,34.99,13.09,34.99,21.90
SO54647,2020-03-18,214,1,34.99,13.09,34.99,21.90
SO54648,2020-03-18,214,1,34.99,13.09,34.99,21.90
SO54673,2020-03-19,214,1,34.99,13.09,34.99,21.90
SO54691,2020-03-19,214,1,34.99,13.09,34.99,21.90
SO54695,2020-03-19,214,1,34.99,13.09,34.99,21.90
SO54705,2020-03-19,214,1,34.99,13.09,34.99,21.90
SO54714,2020-03-19,214,1,34.99,13.09,34.99,21.90
SO54726,2020-03-20,214,1,34.99,13.09,34.99,21.90
SO54727,2020-03-20,214,1,34.99,13.09,34.99,21.90
SO54737,2020-03-20,214,1,34.99,13.09,34.99,21.90
SO54741,2020-03-20,214,1,34.99,13.09,34.99,21.90
SO54758,2020-03-20,214,1,34.99,13.09,34.99,21.90
SO54765,2020-03-20,214,1,34.99,13.09,34.99,21.90
SO54766,2020-03-20,214,1,34.99,13.09,34.99,21.90
SO54786,2020-03-21,214,1,34.99,13.09,34.99,21.90
SO54790,2020-03-21,214,1,34.99,13.09,34.99,21.90
SO54794,2020-03-21,214,1,34.99,13.09,34.99,21.90
SO54800,2020-03-21,214,1,34.99,13.09,34.99,21.90
SO54803,2020-03-21,214,1,34.99,13.09,34.99,21.90
SO54816,2020-03-21,214,1,34.99,13.09,34.99,21.90
SO54817,2020-03-21,214,1,34.99,13.09,34.99,21.90
SO54824,2020-03-22,214,1,34.99,13.09,34.99,21.90
SO54836,2020-03-22,214,1,34.99,13.09,34.99,21.90
SO54845,2020-03-22,214,1,34.99,13.09,34.99,21.90
SO54857,2020-03-22,214,1,34.99,13.09,34.99,21.90
SO54872,2020-03-22,214,1,34.99,13.09,34.99,21.90
SO54874,2020-03-22,214,1,34.99,13.09,34.99,21.90
SO54877,2020-03-22,214,1,34.99,13.09,34.99,21.90
SO54896,2020-03-23,214,1,34.99,13.09,34.99,21.90
SO54908,2020-03-23,214,1,34.99,13.09,34.99,21.90
SO54920,2020-03-23,214,1,34.99,13.09,34.99,21.90
SO54923,2020-03-23,214,1,34.99,13.09,34.99,21.90
SO54924,2020-03-23,214,1,34.99,13.09,34.99,21.90
SO54934,2020-03-24,214,1,34.99,13.09,34.99,21.90
SO54942,2020-03-24,214,1,34.99,13.09,34.99,21.90
SO54960,2020-03-24,214,1,34.99,13.09,34.99,21.90
SO54970,2020-03-24,214,1,34.99,13.09,34.99,21.90
SO54981,2020-03-25,214,1,34.99,13.09,34.99,21.90
SO54983,2020-03-25,214,1,34.99,13.09,34.99,21.90
SO54992,2020-03-25,214,1,34.99,13.09,34.99,21.90
SO55000,2020-03-25,214,1,34.99,13.09,34.99,21.90
SO55004,2020-03-25,214,1,34.99,13.09,34.99,21.90
SO55086,2020-03-26,214,1,34.99,13.09,34.99,21.90
SO55087,2020-03-26,214,1,34.99,13.09,34.99,21.90
SO55095,2020-03-27,214,1,34.99,13.09,34.99,21.90
SO55107,2020-03-27,214,1,34.99,13.09,34.99,21.90
SO55123,2020-03-27,214,1,34.99,13.09,34.99,21.90
SO55130,2020-03-27,214,1,34.99,13.09,34.99,21.90
SO55135,2020-03-27,214,1,34.99,13.09,34.99,21.90
SO55139,2020-03-28,214,1,34.99,13.09,34.99,21.90
SO55140,2020-03-28,214,1,34.99,13.09,34.99,21.90
SO55178,2020-03-28,214,1,34.99,13.09,34.99,21.90
SO55196,2020-03-29,214,1,34.99,13.09,34.99,21.90
SO55220,2020-03-29,214,1,34.99,13.09,34.99,21.90
SO55347,2020-03-30,214,1,34.99,13.09,34.99,21.90
SO55356,2020-03-30,214,1,34.99,13.09,34.99,21.90
SO55359,2020-03-30,214,1,34.99,13.09,34.99,21.90
SO55365,2020-03-30,214,1,34.99,13.09,34.99,21.90
SO55376,2020-03-30,214,1,34.99,13.09,34.99,21.90
SO55384,2020-03-31,214,1,34.99,13.09,34.99,21.90
SO55397,2020-03-31,214,1,34.99,13.09,34.99,21.90
SO55400,2020-03-31,214,1,34.99,13.09,34.99,21.90
SO55410,2020-03-31,214,1,34.99,13.09,34.99,21.90
SO55413,2020-03-31,214,1,34.99,13.09,34.99,21.90
SO55422,2020-03-31,214,1,34.99,13.09,34.99,21.90
SO55428,2020-03-31,214,1,34.99,13.09,34.99,21.90
SO55443,2020-03-31,214,1,34.99,13.09,34.99,21.90
SO55446,2020-03-31,214,1,34.99,13.09,34.99,21.90
SO55448,2020-03-31,214,1,34.99,13.09,34.99,21.90
SO55460,2020-04-01,214,1,34.99,13.09,34.99,21.90
SO55477,2020-04-01,214,1,34.99,13.09,34.99,21.90
SO55489,2020-04-01,214,1,34.99,13.09,34.99,21.90
SO55498,2020-04-01,214,1,34.99,13.09,34.99,21.90
SO55507,2020-04-02,214,1,34.99,13.09,34.99,21.90
SO55542,2020-04-02,214,1,34.99,13.09,34.99,21.90
SO55543,2020-04-02,214,1,34.99,13.09,34.99,21.90
SO55544,2020-04-02,214,1,34.99,13.09,34.99,21.90
SO55561,2020-04-03,214,1,34.99,13.09,34.99,21.90
SO55579,2020-04-03,214,1,34.99,13.09,34.99,21.90
SO55588,2020-04-03,214,1,34.99,13.09,34.99,21.90
SO55594,2020-04-03,214,1,34.99,13.09,34.99,21.90
SO55623,2020-04-04,214,1,34.99,13.09,34.99,21.90
SO55671,2020-04-04,214,1,34.99,13.09,34.99,21.90
SO55673,2020-04-04,214,1,34.99,13.09,34.99,21.90
SO55674,2020-04-04,214,1,34.99,13.09,34.99,21.90
SO55685,2020-04-05,214,1,34.99,13.09,34.99,21.90
SO55693,2020-04-05,214,1,34.99,13.09,34.99,21.90
SO55709,2020-04-05,214,1,34.99,13.09,34.99,21.90
SO55711,2020-04-05,214,1,34.99,13.09,34.99,21.90
SO55721,2020-04-05,214,1,34.99,13.09,34.99,21.90
SO55731,2020-04-05,214,1,34.99,13.09,34.99,21.90
SO55734,2020-04-05,214,1,34.99,13.09,34.99,21.90
SO55746,2020-04-06,214,1,34.99,13.09,34.99,21.90
SO55755,2020-04-06,214,1,34.99,13.09,34.99,21.90
SO55759,2020-04-06,214,1,34.99,13.09,34.99,21.90
SO55792,2020-04-06,214,1,34.99,13.09,34.99,21.90
SO55800,2020-04-06,214,1,34.99,13.09,34.99,21.90
SO55801,2020-04-06,214,1,34.99,13.09,34.99,21.90
SO55803,2020-04-06,214,1,34.99,13.09,34.99,21.90
SO55805,2020-04-06,214,1,34.99,13.09,34.99,21.90
SO55812,2020-04-06,214,1,34.99,13.09,34.99,21.90
SO55819,2020-04-07,214,1,34.99,13.09,34.99,21.90
SO55825,2020-04-07,214,1,34.99,13.09,34.99,21.90
SO55866,2020-04-07,214,1,34.99,13.09,34.99,21.90
SO55885,2020-04-08,214,1,34.99,13.09,34.99,21.90
SO55901,2020-04-08,214,1,34.99,13.09,34.99,21.90
SO55903,2020-04-08,214,1,34.99,13.09,34.99,21.90
SO55907,2020-04-08,214,1,34.99,13.09,34.99,21.90
SO55909,2020-04-08,214,1,34.99,13.09,34.99,21.90
SO55920,2020-04-08,214,1,34.99,13.09,34.99,21.90
SO55928,2020-04-09,214,1,34.99,13.09,34.99,21.90
SO55952,2020-04-09,214,1,34.99,13.09,34.99,21.90
SO55954,2020-04-09,214,1,34.99,13.09,34.99,21.90
SO55956,2020-04-09,214,1,34.99,13.09,34.99,21.90
SO55960,2020-04-09,214,1,34.99,13.09,34.99,21.90
SO55972,2020-04-10,214,1,34.99,13.09,34.99,21.90
SO55982,2020-04-10,214,1,34.99,13.09,34.99,21.90
SO55988,2020-04-10,214,1,34.99,13.09,34.99,21.90
SO55992,2020-04-10,214,1,34.99,13.09,34.99,21.90
SO56001,2020-04-10,214,1,34.99,13.09,34.99,21.90
SO56007,2020-04-10,214,1,34.99,13.09,34.99,21.90
SO56024,2020-04-11,214,1,34.99,13.09,34.99,21.90
SO56036,2020-04-11,214,1,34.99,13.09,34.99,21.90
SO56078,2020-04-12,214,1,34.99,13.09,34.99,21.90
SO56093,2020-04-12,214,1,34.99,13.09,34.99,21.90
SO56107,2020-04-12,214,1,34.99,13.09,34.99,21.90
SO56108,2020-04-12,214,1,34.99,13.09,34.99,21.90
SO56114,2020-04-12,214,1,34.99,13.09,34.99,21.90
SO56129,2020-04-13,214,1,34.99,13.09,34.99,21.90
SO56131,2020-04-13,214,1,34.99,13.09,34.99,21.90
SO56149,2020-04-13,214,1,34.99,13.09,34.99,21.90
SO56167,2020-04-13,214,1,34.99,13.09,34.99,21.90
SO56183,2020-04-13,214,1,34.99,13.09,34.99,21.90
SO56190,2020-04-14,214,1,34.99,13.09,34.99,21.90
SO56219,2020-04-14,214,1,34.99,13.09,34.99,21.90
SO56243,2020-04-15,214,1,34.99,13.09,34.99,21.90
SO56246,2020-04-15,214,1,34.99,13.09,34.99,21.90
SO56249,2020-04-15,214,1,34.99,13.09,34.99,21.90
SO56252,2020-04-15,214,1,34.99,13.09,34.99,21.90
SO56255,2020-04-15,214,1,34.99,13.09,34.99,21.90
SO56283,2020-04-16,214,1,34.99,13.09,34.99,21.90
